size_bytes,size_mb,buffer_bytes,elapsed_s,throughput_MBps
1048576,1,256,0.56,1.786
1048576,1,256,0.65,1.538
1048576,1,256,0.55,1.818
5242880,5,256,5.16,0.969
5242880,5,256,3.40,1.471
5242880,5,256,1.78,2.809
10485760,10,256,3.25,3.077
10485760,10,256,2.90,3.448
10485760,10,256,2.78,3.597
26214400,25,256,6.19,4.039
26214400,25,256,5.91,4.230
26214400,25,256,5.72,4.371
52428800,50,256,10.52,4.753
52428800,50,256,10.03,4.985
52428800,50,256,10.03,4.985
78643200,75,256,14.40,5.208
78643200,75,256,23.62,3.175
78643200,75,256,28.50,2.632
1048576,1,4096,0.80,1.250
1048576,1,4096,0.51,1.961
1048576,1,4096,0.64,1.562
5242880,5,4096,0.59,8.475
5242880,5,4096,0.60,8.333
5242880,5,4096,0.72,6.944
10485760,10,4096,0.95,10.526
10485760,10,4096,0.97,10.309
10485760,10,4096,0.97,10.309
26214400,25,4096,1.47,17.007
26214400,25,4096,1.71,14.620
26214400,25,4096,1.56,16.026
52428800,50,4096,2.74,18.248
52428800,50,4096,2.31,21.645
52428800,50,4096,2.43,20.576
78643200,75,4096,3.21,23.364
78643200,75,4096,3.20,23.438
78643200,75,4096,3.20,23.438
